Ulasan,Rating,Aspek,Sentimen
gamenya asik tapi saat mcgg pisah dari mlbb chessboard mc saya yang dulu saat pindah ke mcgg jadi hilang terutama chessboard saya yang kungfu panda tolong dong mcgg chessboardnya di kembalikan atau bagaimana solusinya karena dulu lumayan juga gacanya,5,effectiveness,positive
ini bukan game strategi tapi game beruntung game yang peresentase kehokian yang cape refresh tidak dapat sinergi yang beruntung tidak refres sinergi hahah sih tolil ini game stok masih banyak tidak muncul muncul lawan ada ketemunya itu lagi itu lagi sengaja sekali sih monyyet membuat kita kalah tidak usah top up rugi,1,satisfaction,negative
tolong admin buatkan jeda unduh data soalnya saya menggunakan paket data tidak mungkin juga saya menggunakan paket data untuk mengunduh data file nya,3,effectiveness,neutral
game tidak jelas makin lama makin aneh,1,unknown,negative
apalah bangmasa saya main sinergi emberlord enggak ada kluar hero emberlord padahal yang main ember cuma saya sendiripilih kasih sekali sih,3,effectiveness,negative
sudah update mau login koneksi tidak kedeteksi melulu padahal buka yt lancar koneksi bagus dan juga belum lama main saat keluar untuk refresh game saat login kembali malah tidak masuk perbaiki dong,2,satisfaction,negative
nice meski masih aga bingung main nya,5,satisfaction,positive
game aneh musuh gampang menang bisa combek giliran kita behhhh payah ngumpulin hero payah makin late game pun makin payah gogo card tidak pernah bagus asli nih game cocok bintang satu,1,satisfaction,negative
sangat tidak masuk akal developer kurang kompeten,1,satisfaction,negative
game burik tidak mutu grafik cacat seperti main catur,1,effectiveness,negative
bagus coyy kalian wajib cobain deh,5,satisfaction,positive
woi matching nya tidak jelas ah masa saya di tag tim msuh tinggal tapi saya yang dihadapin mereka mulu mereka tidak pernah ketemu lawak ah jadi kalah top di tag tim tuh mines ya yang benar dong sudah kali seperti begitu loh benerin ah,3,effectiveness,negative
banyak bug efek suara dari fitur naik bintang tidak masuk dan efek lain tidak ada jadi sia udab top up ratusan ribu juga sudah begitu gabsia ganti voice hero language mau ganti pengisi suara jepang malah enggak ada fiturnya kecewa sekali,1,satisfaction,negative
lol tidak adil masa menggunakan commander jhonson tapi jhonsonnya tidak keluar,1,satisfaction,negative
mantap semoga lebih baik lagi,5,satisfaction,positive
sering sekali download data tiba padahal sudah full downloadnya padahal kagak hapus data tapi tiba download ulang,2,satisfaction,negative
sistem lo benerin game tahi,1,effectiveness,negative
sejago apa kita dalam teori kalau akun kita di setting lostricccgk guna juga buang² waktu danending main hok game sebelah hari tidak pun menang segoblog apa pun paling tidak saja menang atau urutan itu mending kita cuman di jadikan alat saja sama monton kesel saya maaf monton mc gogo saya uninstall bukannya dapat ketenangan dalam bermain membuat emosi,1,satisfaction,negative
sudah ok mntp deh,5,unknown,positive
skin zilong elit saya mana anjir saya beli saat di gabung ml pindah malah tidak ada,1,satisfaction,negative
tidak ada serunya kalah mulu,1,effectiveness,negative
game rusakk dari awal mulai sampai selesai ketemu musuk satu player mulu aneh bug semua ful sinergy kalah sama yang tidak aktif sinergy cacat game ini,1,effectiveness,negative
