content,score
ok,5
"developer tolol soal sistem matching. Sistemnya kek babi, dari segi sinergi, Hero, sampe health point aja gw paling bawah, malah dilawanin sama yg health pointnya masih 100, sinergi udah 6, jingan. Tolong rombak lah sistem bagian ini, jangan dibikin acak atau sesuai urutan. Terus bagian item, magic crystal, sama blessing drop/dapetnya jangan random juga lah, GK adil banget sama lawan yg dapetnya selalu pas. Udah mah pas di fate box dapetnya sisaan, di babak creep juga dapetnya item ampas.",1
gamenya asik dah buruan cobain sekarang gamenya😁🙏🏻,5
game pembodohan,1
SERU MANTAP KING,5
kadang ngelag padahal signal bgus di kasi turun mulu hedeee,1
bagus,5
"game yg sangat tidak masuk akal , terlalu banyak dark di sistemnya , masih enakan MC old , mengandalkan strategi bukan keberuntungan , dan saya berasa memang sistem moonton tidak membiarkan WS , dan itu berasa bgt , saya udah nahan untuk ke slot tinggi tp tidak pernah ketemun hero dngan % an terbanyak , malah mereka yg rol bawah yg mendapat b2 bahkan b3 sbnarnya gmn moonton? carabermainya knp berbeda sekali",1
game nya sangat bagus,5
kadang cari hero yg sinerginya sama susah kali tolong lah kalo saya lagi ngerok hero permudah kan dapetin Hero yang sinergi nya sama,3
sayangnya nggak ada turnamen berhadiah jdi seperti monoton kurang seru.,5
game ampas,1
sangat puas,5
"Bnyak bot gk ush kasih kasih bot gunanya apa sih, gk seru lawan bot",1
sering terjadi crash padahal device saya memadai,5
"iklannya mbok di kondisikan, di beberapa iklannya malah kek promosi iklan judol",1
ok buat ngisi waktu luang,5
"gamenya sangat bagus, saya ingin supaya Dev game ini dapat dimainkan saat offline juga seperti ml. trimakasih tetap semangat 🔥",5
menghibur bngt,5
ilang akun gw gara' kedaftar sama email yg sama,1
berikan aku 10 northern baru aku bintang 5,1
bagus bgt,5
"game play nya sangat memuaskan ya karna itu saya memainkan magic chess ini da saya suka bermain game ini karna hobi saya di game ini susah senang, dan game ini ""MENGAJARKAN BAHWA KITA HARUS LIHAT SABAR TELITI DAN KUASAI UNTUK BISA MENAG DAN KITA JUGA BELAJAR DARI KESALAHAN DARI SALAH SEKECIL APAPUN MASALAHNYA""",5
menyenangkan,5
"game t444iiii, game cacatttt",1
Apapun synerginya Hayabusa B3 solusinya,5
hp kentang ku gak kuat😭😭😭😭,3
"udah capek capek main tapi gak dapet bp (uang), apalah.?!",2
mantap,5
tolong di perbaiki masalah jaringan nya padahal WiFi aman tapi kok masih lag,1
beda sama magic ches dulu sekarang makin sulit cih.,1
BURIKK KKCAK SISTEMMM,1
moonton jahanammmm gw maen dari mythic bintang 33 turun terus sampe ke bintang 20 susah banget moonton gw nyari hero gw apalagi musuhnya kek ga seimbang banget mentang mentang bentar lagi season aduh moonton tolong diperbaiki lagi moonton maaf ini mah,1
"sungguh saya lebih suka versi yang lama, itu sebabnya saya memain kan MC, versi ini membuat saya jijik. berasa JD anak tiri main ini.",1
gem nya seru,5
mantappp,5
"game ampas,pake sinergi apa,di berinya hero apa",1
game tolol jangan dimainin,1
mantap untuk hiburan diwaktu senggang,5
Game ga jelas semua jenis buff da d pakai tetap aja kalah.,1
mantap booscu,5
mantep sih!!,5
tapi sinyal.... min,5
semakin besar update apk,5
ok mantap juga,5
seru bagus suka sekali,5
busuk ngeroll hero gk pernah dapet yg dipengen walaupun gk dipake orang sue,1
seruan yg dulu,3
bang boger minta nerf karina apa hapus aja gapapa aku ikhlas ko ehek,4
asik buat game,5
seru banget dan santai,5
permainan yg seru,5
"game asik menghibur, untuk waktu luang",5
terbaik,5
keren,5
Gem ini seru dari pada ML Aku sangat menyukai nya😄😄😄,5
GAME STRATEGI YANG SANGAT HEBAT !!!,5
jadi makin mudah tapi seru,5
