Ulasan,Rating,Aspek,Sentimen
ok,5,unknown,positive
developer tolol soal sistem matching sistemnya seperti babi dari segi sinergi hero sampai health point saja saya paling bawah malah dilawanin sama yang health pointnya masih sinergi sudah bajingan tolong rombak lah sistem bagian ini jangan dibikin acak atau sesuai urutan terus bagian item magic crystal sama blessing dropdapetnya jangan random juga lah tidak adil sekali sama lawan yang dapetnya selalu saat sudah mah saat di fate box dapetnya sisaan di babak creep juga dapetnya item ampas,1,satisfaction,negative
gamenya asik deh buruan cobain sekarang gamenya,5,satisfaction,positive
game pembodohan,1,unknown,negative
seru mantap king,5,satisfaction,positive
kadang lag padahal signal bagus di kasih turun mulu hedeee,1,satisfaction,negative
bagus,5,satisfaction,positive
game yang sangat tidak masuk akal terlalu banyak dark di sistemnya masih enakan mc old mengandalkan strategi bukan keberuntungan dan saya berasa memang sistem moonton tidak membiarkan ws dan itu berasa sekali saya sudah menahan untuk ke slot tinggi tapi tidak pernah ketemun hero dengan an terbanyak malah mereka yang rol bawah yang mendapat bintang bahkan bintang sebenarnya bagaimana moonton carabermainya kenapa berbeda sekali,1,satisfaction,negative
kadang cari hero yang sinerginya sama susah kali tolong lah kalau saya lagi ngerok hero permudah kan mendapatkan hero yang sinergi nya sama,3,satisfaction,negative
sayangnya enggak ada turnamen berhadiah jadi seperti monoton kurang seru,5,satisfaction,negative
game ampas,1,satisfaction,negative
sangat puas,5,satisfaction,positive
banyak bot tidak usah kasih kasih bot gunanya apa sih tidak seru lawan bot,1,satisfaction,negative
sering terjadi crash padahal device saya memadai,5,effectiveness,negative
iklannya mbok di kondisikan di beberapa iklannya malah seperti promosi iklan judol,1,effectiveness,negative
ok buat ngisi waktu luang,5,satisfaction,positive
gamenya sangat bagus saya ingin supaya dev game ini dapat dimainkan saat offline juga seperti ml trimakasih tetap semangat,5,satisfaction,positive
menghibur sekali,5,satisfaction,positive
hilang akun saya gara kedaftar sama email yang sama,1,satisfaction,negative
berikan saya northern baru saya bintang,1,satisfaction,neutral
game play nya sangat puas ya karena itu saya memainkan magic chess ini ada saya suka bermain game ini karena hobi saya di game ini susah senang dan game ini mengajarkan bahwa kita harus lihat sabar teliti dan kuasai untuk bisa menag dan kita juga belajar dari kesalahan dari salah sekecil apapun masalahnya,5,satisfaction,positive
menyenangkan,5,satisfaction,positive
game tiiii game cacatttt,1,unknown,negative
apapun synerginya hayabusa bintang solusinya,5,effectiveness,neutral
ponsel kentang ku tidak kuat,3,satisfaction,negative
sudah capek capek main tapi tidak dapat bp uang apalah,2,satisfaction,negative
mantap,5,satisfaction,positive
tolong di perbaiki masalah koneksi nya padahal wifi aman tapi kok masih lag,1,satisfaction,negative
beda sama magic ches dulu sekarang makin sulit cih,1,satisfaction,negative
burikk kkcak sistemmm,1,satisfaction,negative
moonton jahanammmm saya main dari mythic bintang turun terus sampai ke bintang susah sekali moonton saya mencari hero saya apalagi musuhnya seperti tidak seimbang sekali mentang mentang bentar lagi season aduh moonton tolong diperbaiki lagi moonton maaf ini mah,1,satisfaction,negative
sungguh saya lebih suka versi yang lama itu sebabnya saya memain kan mc versi ini membuat saya jijik berasa menjadi anak tiri main ini,1,satisfaction,negative
game nya seru,5,satisfaction,positive
game ampaspake sinergi apadi berinya hero apa,1,effectiveness,neutral
game tolol jangan dimainin,1,satisfaction,negative
mantap untuk hiburan diwaktu senggang,5,satisfaction,positive
game tidak jelas semua jenis buff ada di pakai tetap saja kalah,1,effectiveness,negative
mantap booscu,5,satisfaction,positive
tapi sinyal min,5,satisfaction,negative
semakin besar update aplikasi,5,unknown,neutral
ok mantap juga,5,satisfaction,positive
seru bagus suka sekali,5,satisfaction,positive
busuk ngeroll hero tidak pernah dapat yang dipengen walaupun tidak dipakai orang sue,1,effectiveness,negative
bang boger meminta nerf karina apa hapus saja gapapa saya ikhlas kok ehek,4,satisfaction,negative
asik buat game,5,effectiveness,positive
seru sekali dan santai,5,satisfaction,positive
permainan yang seru,5,satisfaction,positive
game asik menghibur untuk waktu luang,5,satisfaction,positive
terbaik,5,satisfaction,positive
keren,5,satisfaction,positive
game ini seru dari pada ml saya sangat menyukai nya,5,satisfaction,positive
game strategi yang sangat hebat,5,satisfaction,positive
jadi makin mudah tapi seru,5,satisfaction,positive
mantaptapi kekuatan hero gold sama dengan hero gold,4,satisfaction,positive
game busuk,1,satisfaction,negative
online battle good,5,unknown,positive
its so keren,5,satisfaction,positive
seru sekali tapi sayangnya saya mau ada comander dan hero yang lain,4,satisfaction,negative
mantap sekali coy,5,satisfaction,positive
permainannya yang lama ke lamaan membuat hilang modnya untuk bermain,1,satisfaction,negative
algoritma masih sama dan tidak ada peningkatan,1,satisfaction,negative
game ini sangat bagus untuk dijadikan game edukasi,5,satisfaction,positive
sampai saat ini masih jadi game favorit sih,5,unknown,positive
bagus untuk game play nya markotop lah,5,satisfaction,positive
lama sekali kalau update bosan synergy itu mulu terlalu kelamaan kalau update,1,satisfaction,negative
saya suka dengan game ini,5,satisfaction,positive
kalau ada hero yang mau bintang atau bintang kan sudah dikunci tetap hilang,2,satisfaction,negative
paling malas pass spin hero enggak ada mulu hero buat setiap sinergi paling ampas,1,satisfaction,negative
wuhu,5,unknown,positive
sedikit pw terutama dibagian slot sementara kalau beli mc pass terus entah bug apa bagaimana kako ganti akun suka kerelog padahal season tidak pernah device juga sudah lumayanredmi note prog jadi membuat kesel terus matchmaking kadang tidak seimbang mungkin biar cepat ketemu musuh tapi cukuo merepotkan bagi yang masih pemula,2,satisfaction,negative
commander karina tolong menghilangkan karena hama enggak ada skill,1,effectiveness,negative
good game,5,unknown,positive
tidak tahu asik saja begitu,5,satisfaction,negative
makin parah sinergi yang di mainkan heronya tidak di keluarkan refresh shop sampai gold tidak ada yang keluar,1,satisfaction,negative
