clean_for_labeling,sentiment
ok,positive
developer tolol soal sistem matching sistemnya seperti babi dari segi sinergi hero sampai health point saja saya paling bawah malah dilawanin sama yang health pointnya masih sinergi sudah bajingan tolong rombak lah sistem bagian ini jangan dibikin acak atau sesuai urutan terus bagian item magic crystal sama blessing dropdapetnya jangan random juga lah tidak adil sekali sama lawan yang dapetnya selalu saat sudah mah saat di fate box dapetnya sisaan di babak creep juga dapetnya item ampas,negative
gamenya asik deh buruan cobain sekarang gamenya,positive
game pembodohan,positive
seru mantap king,neutral
kadang lag padahal signal bagus di kasih turun mulu hedeee,negative
bagus,negative
game yang sangat tidak masuk akal terlalu banyak dark di sistemnya masih enakan mc old mengandalkan strategi bukan keberuntungan dan saya berasa memang sistem moonton tidak membiarkan ws dan itu berasa sekali saya sudah menahan untuk ke slot tinggi tapi tidak pernah ketemun hero dengan an terbanyak malah mereka yang rol bawah yang mendapat bintang bahkan bintang sebenarnya bagaimana moonton carabermainya kenapa berbeda sekali,negative
kadang cari hero yang sinerginya sama susah kali tolong lah kalau saya lagi ngerok hero permudah kan mendapatkan hero yang sinergi nya sama,negative
sayangnya enggak ada turnamen berhadiah jadi seperti monoton kurang seru,negative
game ampas,neutral
sangat puas,neutral
banyak bot tidak usah kasih kasih bot gunanya apa sih tidak seru lawan bot,negative
sering terjadi crash padahal device saya memadai,positive
iklannya mbok di kondisikan di beberapa iklannya malah seperti promosi iklan judol,negative
ok buat ngisi waktu luang,positive
gamenya sangat bagus saya ingin supaya dev game ini dapat dimainkan saat offline juga seperti ml trimakasih tetap semangat,negative
menghibur sekali,neutral
hilang akun saya gara kedaftar sama email yang sama,negative
berikan saya northern baru saya bintang,negative
game play nya sangat puas ya karena itu saya memainkan magic chess ini ada saya suka bermain game ini karena hobi saya di game ini susah senang dan game ini mengajarkan bahwa kita harus lihat sabar teliti dan kuasai untuk bisa menag dan kita juga belajar dari kesalahan dari salah sekecil apapun masalahnya,negative
menyenangkan,negative
game tiiii game cacatttt,positive
apapun synerginya hayabusa bintang solusinya,positive
ponsel kentang ku tidak kuat,negative
sudah capek capek main tapi tidak dapat bp uang apalah,negative
mantap,positive
tolong di perbaiki masalah koneksi nya padahal wifi aman tapi kok masih lag,negative
beda sama magic ches dulu sekarang makin sulit cih,neutral
burikk kkcak sistemmm,neutral
moonton jahanammmm saya main dari mythic bintang turun terus sampai ke bintang susah sekali moonton saya mencari hero saya apalagi musuhnya seperti tidak seimbang sekali mentang mentang bentar lagi season aduh moonton tolong diperbaiki lagi moonton maaf ini mah,negative
sungguh saya lebih suka versi yang lama itu sebabnya saya memain kan mc versi ini membuat saya jijik berasa menjadi anak tiri main ini,negative
game nya seru,neutral
game ampaspake sinergi apadi berinya hero apa,positive
game tolol jangan dimainin,negative
mantap untuk hiburan diwaktu senggang,positive
game tidak jelas semua jenis buff ada di pakai tetap saja kalah,negative
mantap booscu,positive
tapi sinyal min,neutral
semakin besar update aplikasi,negative
ok mantap juga,positive
seru bagus suka sekali,negative
busuk ngeroll hero tidak pernah dapat yang dipengen walaupun tidak dipakai orang sue,negative
bang boger meminta nerf karina apa hapus saja gapapa saya ikhlas kok ehek,negative
asik buat game,positive
seru sekali dan santai,negative
permainan yang seru,negative
game asik menghibur untuk waktu luang,positive
terbaik,positive
keren,positive
game ini seru dari pada ml saya sangat menyukai nya,negative
game strategi yang sangat hebat,neutral
jadi makin mudah tapi seru,negative
mantaptapi kekuatan hero gold sama dengan hero gold,positive
game busuk,neutral
online battle good,positive
its so keren,positive
seru sekali tapi sayangnya saya mau ada comander dan hero yang lain,negative
mantap sekali coy,neutral
permainannya yang lama ke lamaan membuat hilang modnya untuk bermain,negative
algoritma masih sama dan tidak ada peningkatan,negative
game ini sangat bagus untuk dijadikan game edukasi,neutral
sampai saat ini masih jadi game favorit sih,negative
bagus untuk game play nya markotop lah,neutral
lama sekali kalau update bosan synergy itu mulu terlalu kelamaan kalau update,negative
saya suka dengan game ini,negative
kalau ada hero yang mau bintang atau bintang kan sudah dikunci tetap hilang,negative
paling malas pass spin hero enggak ada mulu hero buat setiap sinergi paling ampas,negative
wuhu,neutral
sedikit pw terutama dibagian slot sementara kalau beli mc pass terus entah bug apa bagaimana kako ganti akun suka kerelog padahal season tidak pernah device juga sudah lumayanredmi note prog jadi membuat kesel terus matchmaking kadang tidak seimbang mungkin biar cepat ketemu musuh tapi cukuo merepotkan bagi yang masih pemula,negative
commander karina tolong menghilangkan karena hama enggak ada skill,negative
good game,positive
tidak tahu asik saja begitu,negative
makin parah sinergi yang di mainkan heronya tidak di keluarkan refresh shop sampai gold tidak ada yang keluar,negative
gemnya seru sekali mana hampir sama ml yang asli,negative
bug terus saat mau ganti akunnya sudah uninstall balik juga tetap begitu payah,negative
