clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
ok,positive,negative,positive,neutral,neutral,negative,positive,positive
developer tolol soal sistem matching sistemnya seperti babi dari segi sinergi hero sampai health point saja saya paling bawah malah dilawanin sama yang health pointnya masih sinergi sudah bajingan tolong rombak lah sistem bagian ini jangan dibikin acak atau sesuai urutan terus bagian item magic crystal sama blessing dropdapetnya jangan random juga lah tidak adil sekali sama lawan yang dapetnya selalu saat sudah mah saat di fate box dapetnya sisaan di babak creep juga dapetnya item ampas,negative,positive,negative,negative,negative,negative,negative,negative
gamenya asik deh buruan cobain sekarang gamenya,positive,negative,positive,neutral,neutral,positive,positive,positive
game pembodohan,positive,positive,negative,negative,negative,negative,neutral,negative
seru mantap king,neutral,negative,positive,positive,neutral,positive,positive,positive
kadang lag padahal signal bagus di kasih turun mulu hedeee,negative,positive,negative,negative,negative,negative,negative,negative
bagus,negative,negative,positive,neutral,neutral,positive,positive,positive
game yang sangat tidak masuk akal terlalu banyak dark di sistemnya masih enakan mc old mengandalkan strategi bukan keberuntungan dan saya berasa memang sistem moonton tidak membiarkan ws dan itu berasa sekali saya sudah menahan untuk ke slot tinggi tapi tidak pernah ketemun hero dengan an terbanyak malah mereka yang rol bawah yang mendapat bintang bahkan bintang sebenarnya bagaimana moonton carabermainya kenapa berbeda sekali,negative,positive,negative,negative,negative,negative,negative,negative
kadang cari hero yang sinerginya sama susah kali tolong lah kalau saya lagi ngerok hero permudah kan mendapatkan hero yang sinergi nya sama,negative,positive,negative,positive,negative,negative,negative,negative
sayangnya enggak ada turnamen berhadiah jadi seperti monoton kurang seru,negative,positive,negative,negative,negative,negative,negative,negative
game ampas,neutral,positive,negative,negative,negative,negative,negative,negative
sangat puas,neutral,negative,positive,positive,neutral,positive,positive,positive
banyak bot tidak usah kasih kasih bot gunanya apa sih tidak seru lawan bot,negative,positive,negative,negative,negative,negative,negative,negative
sering terjadi crash padahal device saya memadai,positive,positive,negative,negative,negative,negative,positive,negative
iklannya mbok di kondisikan di beberapa iklannya malah seperti promosi iklan judol,negative,positive,negative,negative,negative,negative,neutral,negative
ok buat ngisi waktu luang,positive,negative,neutral,neutral,neutral,neutral,neutral,positive
gamenya sangat bagus saya ingin supaya dev game ini dapat dimainkan saat offline juga seperti ml trimakasih tetap semangat,negative,negative,positive,positive,neutral,positive,positive,positive
menghibur sekali,neutral,negative,positive,positive,neutral,negative,positive,positive
hilang akun saya gara kedaftar sama email yang sama,negative,positive,negative,negative,negative,negative,negative,negative
berikan saya northern baru saya bintang,negative,neutral,neutral,positive,negative,neutral,neutral,neutral
game play nya sangat puas ya karena itu saya memainkan magic chess ini ada saya suka bermain game ini karena hobi saya di game ini susah senang dan game ini mengajarkan bahwa kita harus lihat sabar teliti dan kuasai untuk bisa menag dan kita juga belajar dari kesalahan dari salah sekecil apapun masalahnya,negative,negative,positive,positive,neutral,positive,positive,positive
menyenangkan,negative,negative,positive,positive,neutral,positive,positive,positive
game tiiii game cacatttt,positive,positive,negative,negative,negative,negative,negative,negative
apapun synerginya hayabusa bintang solusinya,positive,neutral,neutral,positive,neutral,positive,neutral,neutral
ponsel kentang ku tidak kuat,negative,positive,negative,negative,negative,negative,negative,negative
sudah capek capek main tapi tidak dapat bp uang apalah,negative,positive,negative,negative,negative,negative,negative,negative
mantap,positive,negative,positive,positive,neutral,positive,positive,positive
tolong di perbaiki masalah koneksi nya padahal wifi aman tapi kok masih lag,negative,positive,negative,negative,negative,neutral,neutral,negative
beda sama magic ches dulu sekarang makin sulit cih,neutral,positive,negative,negative,negative,negative,negative,negative
burikk kkcak sistemmm,neutral,positive,positive,negative,negative,positive,neutral,negative
moonton jahanammmm saya main dari mythic bintang turun terus sampai ke bintang susah sekali moonton saya mencari hero saya apalagi musuhnya seperti tidak seimbang sekali mentang mentang bentar lagi season aduh moonton tolong diperbaiki lagi moonton maaf ini mah,negative,positive,negative,negative,negative,negative,negative,negative
sungguh saya lebih suka versi yang lama itu sebabnya saya memain kan mc versi ini membuat saya jijik berasa menjadi anak tiri main ini,negative,positive,negative,negative,negative,negative,negative,negative
game nya seru,neutral,negative,positive,neutral,neutral,positive,positive,positive
game ampaspake sinergi apadi berinya hero apa,positive,positive,negative,negative,negative,neutral,negative,neutral
game tolol jangan dimainin,negative,positive,negative,negative,negative,negative,negative,negative
mantap untuk hiburan diwaktu senggang,positive,negative,positive,neutral,neutral,positive,positive,positive
game tidak jelas semua jenis buff ada di pakai tetap saja kalah,negative,positive,negative,negative,negative,negative,negative,negative
mantap booscu,positive,negative,positive,positive,neutral,positive,positive,positive
tapi sinyal min,neutral,neutral,negative,neutral,negative,neutral,negative,negative
semakin besar update aplikasi,negative,neutral,neutral,neutral,neutral,positive,neutral,neutral
ok mantap juga,positive,negative,positive,positive,neutral,positive,positive,positive
seru bagus suka sekali,negative,negative,positive,positive,neutral,positive,positive,positive
busuk ngeroll hero tidak pernah dapat yang dipengen walaupun tidak dipakai orang sue,negative,positive,negative,negative,negative,negative,negative,negative
bang boger meminta nerf karina apa hapus saja gapapa saya ikhlas kok ehek,negative,positive,negative,negative,negative,negative,negative,negative
asik buat game,positive,negative,positive,neutral,neutral,neutral,positive,positive
seru sekali dan santai,negative,negative,positive,positive,neutral,positive,positive,positive
permainan yang seru,negative,negative,positive,neutral,neutral,positive,positive,positive
game asik menghibur untuk waktu luang,positive,negative,positive,neutral,neutral,positive,positive,positive
terbaik,positive,negative,positive,positive,neutral,positive,positive,positive
keren,positive,negative,positive,positive,neutral,positive,positive,positive
game ini seru dari pada ml saya sangat menyukai nya,negative,negative,positive,positive,neutral,positive,positive,positive
game strategi yang sangat hebat,neutral,negative,positive,positive,neutral,positive,positive,positive
jadi makin mudah tapi seru,negative,negative,positive,neutral,neutral,positive,positive,positive
mantaptapi kekuatan hero gold sama dengan hero gold,positive,negative,positive,positive,neutral,positive,positive,positive
game busuk,neutral,positive,negative,negative,negative,negative,negative,negative
online battle good,positive,negative,positive,positive,neutral,positive,positive,positive
its so keren,positive,negative,positive,positive,neutral,positive,positive,positive
seru sekali tapi sayangnya saya mau ada comander dan hero yang lain,negative,negative,negative,neutral,negative,negative,negative,negative
mantap sekali coy,neutral,negative,positive,positive,neutral,positive,positive,positive
permainannya yang lama ke lamaan membuat hilang modnya untuk bermain,negative,positive,negative,negative,negative,negative,negative,negative
algoritma masih sama dan tidak ada peningkatan,negative,neutral,negative,neutral,negative,negative,neutral,negative
game ini sangat bagus untuk dijadikan game edukasi,neutral,negative,positive,neutral,neutral,positive,positive,positive
sampai saat ini masih jadi game favorit sih,negative,negative,positive,neutral,neutral,positive,positive,positive
bagus untuk game play nya markotop lah,neutral,negative,positive,negative,neutral,positive,positive,positive
lama sekali kalau update bosan synergy itu mulu terlalu kelamaan kalau update,negative,positive,negative,negative,negative,negative,negative,negative
saya suka dengan game ini,negative,negative,positive,positive,neutral,positive,positive,positive
kalau ada hero yang mau bintang atau bintang kan sudah dikunci tetap hilang,negative,positive,negative,negative,negative,neutral,negative,negative
paling malas pass spin hero enggak ada mulu hero buat setiap sinergi paling ampas,negative,positive,negative,negative,negative,negative,negative,negative
wuhu,neutral,negative,positive,negative,neutral,positive,positive,positive
sedikit pw terutama dibagian slot sementara kalau beli mc pass terus entah bug apa bagaimana kako ganti akun suka kerelog padahal season tidak pernah device juga sudah lumayanredmi note prog jadi membuat kesel terus matchmaking kadang tidak seimbang mungkin biar cepat ketemu musuh tapi cukuo merepotkan bagi yang masih pemula,negative,positive,negative,negative,negative,negative,negative,negative
commander karina tolong menghilangkan karena hama enggak ada skill,negative,positive,negative,negative,negative,neutral,neutral,negative
good game,positive,negative,positive,neutral,neutral,positive,positive,positive
tidak tahu asik saja begitu,negative,positive,negative,negative,negative,negative,negative,negative
makin parah sinergi yang di mainkan heronya tidak di keluarkan refresh shop sampai gold tidak ada yang keluar,negative,positive,negative,negative,negative,negative,negative,negative
gemnya seru sekali mana hampir sama ml yang asli,negative,negative,positive,positive,neutral,positive,positive,positive
bug terus saat mau ganti akunnya sudah uninstall balik juga tetap begitu payah,negative,positive,negative,negative,negative,negative,negative,negative
